20
1,1,1
2,3,5
3,5,6
4,2,8
5,7,2
6,4,4
7,6,7
8,8,3
9,9,9
10,10,2
11,11,6
12,12,4
13,13,8
14,14,1
15,15,5
16,16,7
17,17,3
18,18,9
19,19,2
20,20,6
50
1,2,10
1,3,23
2,4,5
2,5,15
3,6,8
3,7,12
4,8,6
4,9,19
5,10,7
5,11,14
6,12,11
6,13,22
7,14,9
7,15,16
8,16,13
8,17,4
9,18,18
9,19,1
10,20,20
10,1,25
11,2,6
11,3,17
12,4,3
12,5,21
13,6,8
13,7,13
14,8,5
14,9,16
15,10,11
15,11,7
16,12,9
16,13,24
17,14,2
17,15,15
18,16,12
18,17,6
19,18,3
19,20,19
20,19,8
20,1,27
1,4,14
2,6,9
3,9,11
4,10,16
5,13,7
6,20,20
7,5,5
8,18,18
9,12,12
10,3,3
11,22,22
12,8,8
13,15,15
14,6,6
15,10,10
16,13,13
17,17,17
18,26,26
